mlfb,fw,status,note
6ES7 132-4BB00-0AA0,,discontinued 04/05,11.4 DO | 2 DO DC24V/0.5A
6ES7 132-4BB01-0AA0,,listed,11.4 DO | 2 DO DC24V/0.5A
6ES7 132-4BB30-0AA0,,discontinued 04/05,11.4 DO | 2 DO DC24V/2A
6ES7 132-4BB31-0AA0,,listed,11.4 DO | 2 DO DC24V/2A
6ES7 132-4BB00-0AB0,,discontinued 09/05,11.4 DO | 2 DO DC24V/0.5A High Feature
6ES7 132-4BB01-0AB0,,listed,11.4 DO | 2 DO DC24V/0.5A High Feature
6ES7 132-4BB30-0AB0,,discontinued 07/05,11.4 DO | 2 DO DC24V/2A High Feature
6ES7 132-4BB31-0AB0,,listed,11.4 DO | 2 DO DC24V/2A High Feature
6ES7 132-4BD00-0AA0,,discontinued 05/05,11.4 DO | 4 DO DC24V/0.5A
6ES7 132-4BD00-0AB0,,listed,11.4 DO | 4 DO DC24V/0.5A High Feature
6ES7 132-4BD01-0AA0,,discontinued 10/10,11.4 DO | 4 DO DC24V/0.5A
6ES7 132-4BD02-0AA0,,listed,11.4 DO | 4 DO DC24V/0.5A
6ES7 132-4BD30-0AA0,,discontinued 04/05,11.4 DO | 4 DO DC24V/2A
6ES7 132-4BD30-0AB0,,listed,11.4 DO | 4 DO DC24V/2A High Feature
6ES7 132-4BD31-0AA0,,discontinued 05/07,11.4 DO | 4 DO DC24V/2A
6ES7 132-4BD32-0AA0,,listed,11.4 DO | 4 DO DC24V/2A
6ES7 132-4BF00-0AA0,,listed,11.4 DO | 8 DO DC24V/0.5A High Speed
6ES7 132-4BF00-0AB0,,listed,11.4 DO | 8 DO DC24V/0.5A High Feature
6ES7 132-4FB00-0AB0,,discontinued 01/07,11.4 DO | 2 DO AC 120/230V/ 1A
6ES7 132-4FB01-0AB0,,listed,11.4 DO | 2 DO AC 120/230V/ 1A
6ES7 132-4HB00-0AB0,,discontinued 04/05,11.4 DO | 2 DO Rel. 24.230V/5A
6ES7 132-4HB01-0AB0,,listed,11.4 DO | 2 DO Rel. 24.230V/5A
6ES7 132-4HB10-0AB0,,discontinued 05/11,11.4 DO | 2 DO Rel. 24.230V/5A
6ES7 132-4HB12-0AB0,,listed,11.4 DO | 2 DO Rel. 24.230V/5A
6ES7 138-4FB00-0AB0,,discontinued 06/04,11.4 DO | 4 DO DC 24V/2A
6ES7 138-4FB01-0AB0,,discontinued 10/05,11.4 DO | 4 DO DC 24V/2A
6ES7 138-4FB02-0AB0,,discontinued 10/08,11.4 DO | 4 DO DC 24V/2A
6ES7 138-4FB03-0AB0,,discontinued 07/14,11.4 DO | 4 DO DC 24V/2A
6ES7 138-4FB04-0AB0,,listed,11.4 DO | 4 DO DC 24V/2A
6ES7 138-4DA04-0AB0,,listed,"11.5 FM | Counter module, 24 V/100 kHz"
6ES7 151-1BA00-0AB0,,discontinued 10/05,11.6 IM | IM 151-1
6ES7 151-1BA01-0AB0,,discontinued 03/07,11.6 IM | IM 151-1
6ES7 151-1BA02-0AB0,,listed,11.6 IM | IM 151-1
6ES7 138-4CA00-0AA0,,discontinued 04/05,11.7 PS | PM-E DC24V
6ES7 138-4CA01-0AA0,,listed,11.7 PS | PM-E DC24V
6ES7 138-4CA60-0AB0,,listed,11.7 PS | PM-E DC24V HF
6ES7 138-4CB10-0AB0,,discontinued 11/06,11.7 PS | PM-E DC24V/ AC120/230V
6ES7 138-4CB11-0AB0,,listed,11.7 PS | PM-E DC24V..48/ AC24..230V
6ES7 138-4CF00-0AB0,,discontinued 06/04,11.7 PS | PM-E DC24V
6ES7 138-4CF01-0AB0,,discontinued 10/05,11.7 PS | PM-E DC24V
6ES7 138-4CF02-0AB0,,discontinued 10/08,11.7 PS | PM-E DC24V
6ES7 138-4CF03-0AB0,,listed,11.7 PS | PM-E DC24V
6ES7 138-4CF42-0AB0,,listed,11.7 PS | PM-E DC24V
6ES7134-6GD00-0BA1,,discontinued 04/18,12.1 AI | AI 4 x I 2-/4-wire ST
6ES7134-6GD01-0BA1,,listed,12.1 AI | AI 4xI 2-/4-wire ST
6ES7134-6HD00-0BA1,,discontinued 04/18,12.1 AI | AI 4 x U/I 2-wire ST
6ES7134-6HD01-0BA1,,listed,12.1 AI | AI 4 x U/I 2-wire ST
6ES7134-6JD00-0CA1,,listed,12.1 AI | AI 4 x RTD/TC 2-/3-/4- wire HF
6ES7134-6PA00-0BD0,,discontinued 01/17,12.1 AI | AI Energy Meter ST
6ES7134-6HB00-0CA1,,listed,"12.1 AI | AI 2 x U/I 2-,4-wire HF"
6ES7134-6TD00-0CA1,,listed,12.1 AI | AI 4 x I 2-wire HART
6ES7134-6JF00-0CA1,,listed,12.1 AI | AI 8 x RTD/TC 2-wire HF
6ES7135-6HB00-0CA1,,listed,12.2 AO | AQ 2xU/I HF
6ES7135-6HD00-0BA1,,listed,12.2 AO | AQ 4xU/I ST
6ES7135-6TD00-0CA1,,listed,12.2 AO | AQ 4xI HART
6ES7131-6BF00-0BA0,,discontinued 02/18,12.3 DI | DI 8x24VDC ST
6ES7131-6BF01-0BA0,,listed,12.3 DI | DI 8x24VDC ST
6ES7131-6BH00-0BA0,,discontinued 03/18,12.3 DI | DI 16x24VDC ST
6ES7131-6BH01-0BA0,,listed,12.3 DI | DI 16x 24VDC ST
6ES7131-6BF00-0CA0,,listed,12.3 DI | DI 8x24VDC HF
6ES7131-6BF00-0DA0,,listed,12.3 DI | DI 8x24VDC High Speed
6ES7131-6TF00-0CA0,,listed,12.3 DI | DI 8x24VDC HF NA MUR
6ES7131-6FD01-0BB1,,listed,12.3 DI | DI 4x120..230VAC ST
6ES7132-6BD20-0CA0,,listed,12.4 DO | DQ 4x24VDC/2A HF
6ES7132-6BD20-0BA0,,listed,12.4 DO | DQ 4x24VDC 2A ST
6ES7132-6FD00-0BB1,,listed,12.4 DO | DQ 4x24..230VAC/2A ST
6ES7132-6BF00-0BA0,,discontinued 03/18,12.4 DO | DQ 8x24VDC 0.5A ST
6ES7132-6BF01-0BA0,,listed,12.4 DO | DQ 8x24VDC/0.5A ST
6ES7132-6BF00-0CA0,,listed,12.4 DO | DQ 8 DC24V 0.5A HF
6ES7132-6BH00-0BA0,,discontinued 04/18,12.4 DO | DQ 16x24VDC 0.5A ST
6ES7132-6BH01-0BA0,,listed,12.4 DO | DQ 16x24VDC/0.5A ST
6ES7132-6HD00-0BB0,,discontinued 12/16,12.4 DO | RQ NO 4x120VDC..230VAC/ 5A ST
6ES7132-6HD00-0BB1,,discontinued 03/18,12.4 DO | RQ NO 4x120VDC..230VAC/ 5A ST
6ES7132-6HD01-0BB1,,listed,12.4 DO | RQ NO 4x120VDC..230VAC/ 5A ST
6ES7155-6AU00-0CN0,,discontinued 05/19,12.5 IM | ET 200SP IM155-6PN HF
6ES7155-6AU01-0CN0,,listed,12.5 IM | ET 200SP IM155-6PN/2 HF
6ES7155-6BU00-0CN0,,discontinued 06/19,12.5 IM | ET 200SP IM155-6DP HF
6ES7155-6BU01-0CN0,,listed,12.5 IM | ET 200SP IM155-6DP HF
6ES7193-6PA00-0AA0,,listed,12.6 Server module | SERVER MODULE
6ES7193-6AR00-0AA0,,listed,12.7 Bus adapter | BA 2xRJ45
6ES7193-6AF00-0AA0,,listed,12.7 Bus adapter | BA 2xFC
6ES7193-6AP00-0AA0,,listed,12.7 Bus adapter | BA 2xSCRJ
6ES7193-6AG00-0AA0,,listed,12.7 Bus adapter | BA 2xLC
6ES7193-6AG40-0AA0,,listed,12.7 Bus adapter | BA LC/FC
6ES7193-6AG20-0AA0,,listed,12.7 Bus adapter | BA LC/RJ45
6ES7193-6AP20-0AA0,,listed,12.7 Bus adapter | BA SCRJ/RJ45
6ES7193-6AP40-0AA0,,listed,12.7 Bus adapter | BA SCRJ/FC
6ES7 144-1FB31-0XB0,,discontinued 10/08,13.1 AI | ET 200X EM 144 AI 2x U
6ES7 144-1GB31-0XB0,,discontinued 10/08,13.1 AI | ET 200X EM 144 AI 2x I
6ES7 144-1GB41-0XB0,,discontinued 10/08,13.1 AI | ET 200X EM 144 AI 2x I
6ES7 144-1JB31-0XB0,,discontinued 10/08,13.1 AI | ET 200X EM 144 AI 2x RTD
6ES7 145-1FB31-0XB0,,discontinued 10/08,13.2 AO | ET 200X EM 145 AO 2x U
